naklad_szt;objetosc_m3;konstrukcja_kg;sklejka_m3;drewno_m3;plyta_m2;druk_m2;led_mb;tworzywa_m2;koszty_pozostale;rodzaj_tworzywa;rodzaj_displaya;stopien_skomplikowania;cena
3;0,001;6,76;0,000;0,000;0,00;0,00;0,00;0,18;0,00;PMMA;naladowy;1;1000,69
10;0,450;8,42;0,000;0,000;2,12;0,38;0,00;0,58;0,00;PET ;regal;2;1154,28
30;0,009;0,00;0,200;0,000;0,00;0,13;0,00;0,13;0,00;HIPS;naladowy;2;147,75
90;0,009;0,00;0,200;0,000;0,00;0,13;0,00;0,13;0,00;HIPS;naladowy;2;141,36
160;0,002;0,13;0,000;0,000;0,00;0,08;0,00;0,08;0,00;PET ;naladowy;2;35,42
10;0,864;42,00;0,000;0,000;0,00;3,12;2,30;4,50;199,47;PMMA;regal;5;4225,95
10;1,700;10,45;0,465;0,000;1,16;0,20;0,00;0,00;0,00;;regal;4;1161,20
80;0,008;0,85;0,000;0,000;0,00;0,15;0,90;0,08;0,00;PMMA;naladowy;3;256,05
20;0,427;19,00;0,000;0,000;0,00;0,14;0,00;0,25;0,00;HIPS;regal;3;1232,59
208;0,033;0,00;0,003;0,005;0,16;0,33;0,00;0,16;0,00;PET ;naladowy;3;753,17
40;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;741,94
250;0,034;1,25;0,000;0,000;0,00;0,02;0,00;0,00;0,00;;naladowy;2;95,38
200;0,021;1,15;0,000;0,000;0,00;0,01;0,00;0,00;0,00;;naladowy;2;130,59
900;0,027;1,15;0,000;0,000;0,00;0,04;0,00;0,00;0,00;;naladowy;2;77,24
5000;0,001;0,00;0,000;0,000;0,00;0,00;0,00;0,17;4,60;HIPS;ekspozytor_tworzywowy;3;39,36
60;0,257;17,50;0,000;0,000;0,00;0,20;0,00;0,00;0,00;;regal;3;672,75
300;0,050;1,00;0,000;0,000;0,00;0,10;0,00;0,00;0,00;;naladowy;3;113,92
30;0,310;1,16;0,000;0,000;1,64;0,78;0,00;0,78;0,00;NAKLEJKA;regal;2;519,38
320;0,889;8,65;0,000;0,000;4,84;1,05;0,00;0,41;0,00;PET ;regal;3;774.62 
200;0,001;0,00;0,000;0,000;0,00;0,01;0,00;0,03;0,00;PET ;naladowy;2;25.78 
200;0,004;0,00;0,000;0,001;0,00;0,02;0,00;0,13;0,00;PET ;naladowy;2;36,28
56;0,052;0,11;0,000;0,000;0,74;0,33;0,00;0,67;0,00;PMMA;naladowy;3;516,45
20;2,094;0,70;0,000;0,100;12,50;9,90;4,40;0,90;325,00;PMMA;wyspa;4;5551,75
171;0,263;22,00;0,000;0,000;0,00;0,00;0,00;0,14;0,00;PET ;regal;3;681,42
160;0,409;27,00;0,000;0,000;0,00;0,00;0,00;0,22;0,00;PET ;regal;3;817,02
24;0,378;23,50;0,000;0,004;0,00;0,60;3,60;0,55;0,00;PET ;regal;3;1050,20
50;0,019;2,75;0,000;0,000;0,00;0,00;0,00;0,04;0,00;PET ;pozostale;1;124,51
10;0,855;9,00;0,000;0,000;3,99;0,33;0,00;0,58;0,00;PET ;regal;2;739,65
80;0,002;0,61;0,001;0,000;0,00;0,09;0,43;0,02;0,00;HIPS;pozostale;1;184,54
50;0,450;8,42;0,000;0,000;2,12;0,38;0,00;0,58;0,00;PET ;regal;2;577,39
250;0,450;8,42;0,000;0,000;2,12;0,38;0,00;0,58;0,00;PET ;regal;2;257,70
450;0,270;8,67;0,000;0,000;1,07;0,44;0,00;0,35;0,00;PET ;regal;2;232,37
1;0,014;0,26;0,000;0,000;0,00;0,05;0,00;0,33;0,00;HIPS;pozostale;1;990,00
30;1,560;24,18;0,000;0,000;0,00;4,00;0,00;4,50;0,00;HIPS;regal;1;1374,55
1;1,175;2,49;0,018;0,000;0,00;2,11;0,00;3,10;0,00;PET ;pozostale;2;2935,68
1;0,007;0,00;0,000;0,000;0,00;0,00;0,00;1,39;0,00;;pozostale;1;291,33
2;1,200;16,80;0,000;0,000;2,94;2,20;0,00;0,00;0,00;;regal;3;2656,42
200;0,349;10,00;0,016;0,000;0,00;0,98;0,00;0,23;0,00;PET ;regal;3;763,86
450;0,001;0,00;0,000;0,000;0,00;0,20;0,00;0,20;0,00;PET ;ekspozytor_tworzywowy;2;54,83
520;0,001;0,00;0,000;0,000;0,00;0,20;0,00;0,20;0,00;PET ;ekspozytor_tworzywowy;2;74,86
100;0,000;0,35;0,000;0,000;0,00;0,00;0,00;0,00;0,00;;naladowy;2;88,21
150;0,378;23,50;0,000;0,004;0,00;0,60;3,60;0,55;0,00;PET ;regal;3;997,71
15;0,440;12,00;0,000;0,000;0,60;0,05;0,00;0,00;0,00;;regal;3;1175,47
10;0,007;1,50;0,000;0,000;0,00;0,00;0,00;0,00;0,00;;naladowy;2;326,24
136;0,378;23,50;0,000;0,004;0,00;0,60;3,60;0,55;0,00;PET ;regal;3;1282,60
500;0,008;3,50;0,000;0,000;0,00;0,20;0,00;0,00;0,00;;druciak;3;119,94
20;0,387;2,70;0,000;0,000;1,30;1,27;0,00;0,00;0,00;;owijka;2;388,93
340;0,021;3,00;0,000;0,000;0,00;0,13;0,00;0,20;0,00;PET ;naladowy;3;276,08
200;0,002;0,18;0,000;0,000;0,00;0,00;0,00;0,03;0,00;PET ;naladowy;2;31,64
100;0,021;0,00;0,456;0,000;0,00;0,06;0,00;0,00;0,00;;naladowy;2;165,64
200;0,045;4,45;0,000;0,000;0,00;0,02;0,00;0,00;0,00;NAKLEJKA;regal;3;229,16
4;0,675;40,00;0,000;0,058;0,00;0,00;0,00;0,00;0,00;;wyspa;3;2370,29
1;0,001;0,00;0,000;0,000;0,00;0,01;0,00;0,03;0,00;PET ;naladowy;2;530,00
125;0,244;17,30;0,006;0,000;0,00;0,96;0,00;0,00;0,00;;regal;3;871,04
500;0,0063;1;0,00035;0;0;0,025;0;0;0;;naladowy;1;48,79
100;0,0054;0,2;0,0003;0;0;0,016;0;0,08;0;HIPS;naladowy;1;38,52
100;0,96;6;0;0;3,5;1,5;0;1,5;0;DISPA;paleciak;1;784
25;1,34;19;0;0;0;2;0;1,5;0;;pozostale;3;1216
250;0,0032;0;0;0;0;0,52;3,2;0,78;0;PMMA;kaseton;2;377,87
1;2,86;167;0;0;5,88;2,95;0;0;0;;wyspa;5;15082
4;0,6;50;0,6;0,6;0;0,3;0;0;0;;pozostale;1;3607
100;0,28;21,5;0;0;0;1,4;0;1,8;0;PET;regal;1;852,07
4;0,48;45;0;0;0;0;0;0;1000;;pozostale;3;3650
100;0,008;0;0;0;0;1,3;4;2;0;PMMA;kaseton;1;580,17
10;0,6;50;0,6;0,0144;0;0,3;0;0;0;;pozostale;3;3044
100;0,233325;28;0;0;0;1,266;4,2;0,38;0;PMMA;ekspozytor_tworzywowy;4;1293,62
100;0,233325;24;0;0;0;0,38;0;0,9666;0;HIPS;regal;3;859,82
500;0,000234;0;0;0;0;0,015;0;0,04;0;PET;naladowy;1;16,48
3;4,14036;38,5;0;0;0;3,3;0;4;0;HIPS;pozostale;2;2623,24
9;2,120265;25,5;0;0;0;3,3;0;4;0;HIPS;pozostale;2;1707,55
20;0,18144;13,5;0;0;1,7;0,4;0;1,26;0;PET;regal;3;919,22
30;0,2754;13,2;0;0;0,5;1,35;0;1,06;40;HIPS;regal;3;793,63
1000;0,027;0,2;0,0072;0;0;0,18;0;0;0;;naladowy;2;180
300;0,00135;0;0;0;0;0,02;0;0,15;0;;pozostale;1;12,73
200;0,0009;0;0;0;0;0,02;0;0,11;0;HIPS;pozostale;1;12,86
200;0,0114;0,64;0;0;0;0,01;0;0;0;;druciak;1;45,82
300;0,01267;1,278;0;0;0;0,012;0;0;0;;druciak;1;89,98
5000;0,00054;0;0;0;0;0,0172;0;0,016;0;ABS;pozostale;1;17,77
5000;0,166;1,39;0;0;0;0;0;0,43;0;PET;pozostale;1;103,85
1220;0,01365;0;0;0;0;0,07;0;0,465;0;PMMA;ekspozytor_tworzywowy;2;95,34
1220;0,015;0;0;0;0,054;0,04;0;0,39;0;PMMA;ekspozytor_tworzywowy;2;102,02
1220;0,014;0;0;0;0;0,02;0;0,536;0;PMMA;ekspozytor_tworzywowy;2;105,19
50;0,64;15;0;0;6;0,5;4,5;1,2;150;PMMA;regal;3;1940
70;0,7872;38;0;0;0;0;6;1,4;0;;regal;3;1985,69
8;0,648;34;0;0;0;0;10;1,3;0;PMMA;regal;3;2899
150;0,035712;7,4;0;0;0;0,065;0;0;22,58;;naladowy;3;288,65
100;0,004;0,75;0;0;0;0;3,35;0,2;105;PMMA;kaseton;3;421,83
20;0,619504875;15;0,25;0;0;0;2,2;0;470;;regal;3;2052,72
20;0,2725101;32;0;0;0;0,015;2,8;0,115;0;PMMA;regal;4;1615,66
100;0,21924;22;0;0;0;0,65;0;0,77;0;HIPS;regal;3;908,81
300;0,02;3;0;0;0;0,13;0;0,0823;0;PMMA;naladowy;2;101,95
100;0,22847268;20;0;0;0;0,87;0;0,97;0;HIPS;regal;3;823,21
144;3,35;0;0;0,07;0;2,2;0;0;0;;pozostale;2;858
300;2,11;5;0;0;2;1,3;0;4,5;220;PMMA;owijka;3;1192
50;0,432;50;0;0;0;0;10;1;0;DISPA;regal;4;2744
60;0,532;33;0;0;0;0;8;2,6;0;PMMA;regal;3;2117
50;0,78;53;0;0;0;2,12;1,25;0,9;0;HIPS;regal;3;2183,89
100;0,06;0;0;0;1;0,03;0;0;0;;pozostale;2;156,02
500;0,005;1,3;0;0,0015;0;0,07;1,3;0,086;0;PMMA;pozostale;3;159,45
100;0,008;3,7;0;0;0;0;1,5;0,0096;0;PET;naladowy;2;246,45
100;0,208;8,5;0;0;0;0,9;1,4;1,4;0;PMMA;potykacz;2;647
400;0,00454;0;0;0;0;0,019;0;0,00454;0;HIPS;naladowy;2;48,74
300;0,0074;0,3;0;0;0;0,11;1,2;0,11;50;PMMA;naladowy;1;235,7
100;0,06;0;0;0;1;0,3;0;0;0;;pozostale;2;156,02
1;0,88;48;0;0;0;1,6;0;2;0;;regal;3;2038
3000;7,80E-05;0;0;0,00078;0;0;0;0;0;;ekspozytor_tworzywowy;1;28
1000;0,0003553;0;0;0;0;0,001;0;0;0;;naladowy;1;38,5
1000;0,257;0;0;0;0;1;0;2,41;0;HIPS;ekspozytor_tworzywowy;1;267,76
1000;0,13;3,5;0;0;0,72;1;0;1,365;0;HIPS;pozostale;1;304,5
1000;0,009;0;0;0;0;0,11;0;0,22;0;HIPS;ekspozytor_tworzywowy;1;75,41
100;0,06;0;0;0;1;0,3;0;0,32;0;PET;pozostale;2;167,47
